match_key,career_match_index,career_stage,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,match_no,total_matches_that_day,total_sets_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_num,opponent,opponent_slug,season_opponent_num,is_repeat_opponent,deaf_school,match_type,event_name,milestone_flag,result,set_scores,set_result,was_set_swept,swept_opponent,set_count,set_diff,comeback_win,win_streak,loss_streak,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,location,did_play,maxpreps
SO_09-16_FRIENDS_1,42,mid,SO,8,2017-09-16,Saturday,3,2,1,1,3,False,,,1,Friends,FRIENDS,1,False,False,regular,,,W,"25-15,25-17,25-8",3-0,False,True,3,3,False,6,0,75,40,0.30434782608695654,False,False,home,True,https://www.maxpreps.com/games/09-16-2017/volleyball-17/friends-vs-model-secondary-school-for-the-deaf.htm?c=sOtrffr4_kOXt-grb9UdRA#tab=box-score&schoolid=
SO_09-18_BHA_1,,,SO,9,2017-09-18,Monday,3,2,1,1,3,False,,,1,Berman Hebrew Academy,BHA,1,False,False,sick,,,W,"25-10,25-6,25-9",3-0,False,True,3,3,False,7,0,75,25,0.5,False,False,home,False,https://www.maxpreps.com/games/09-18-2017/volleyball-17/berman-hebrew-academy-vs-model-secondary-school-for-the-deaf.htm?c=p1PM8dzkQkagnlgqSuigBA#tab=box-score&schoolid=
SO_09-19_BOHS_1,43,mid,SO,10,2017-09-19,Tuesday,4,1,1,1,3,False,,,1,Bishop O'Connell,BOHS,1,False,False,regular,,,L,"23-25,12-25,16-25",0-3,True,False,3,-3,False,0,1,51,75,-0.19047619047619047,False,False,away,True,https://www.maxpreps.com/games/09-19-2017/volleyball-17/bishop-oconnell-vs-model-secondary-school-for-the-deaf.htm?c=uXQAlUqtb0ycWUXwSNnzlw#tab=box-score&schoolid=
SO_09-21_GCA_1,44,mid,SO,11,2017-09-21,Thursday,4,2,1,1,3,False,,,1,Grace Christian Academy,GCA,1,False,False,regular,,,W,"25-20,25-16,25-11",3-0,False,True,3,3,False,1,0,75,47,0.22950819672131148,False,False,away,True,https://www.maxpreps.com/games/09-21-2017/volleyball-17/grace-christian-academy-vs-model-secondary-school-for-the-deaf.htm?c=6iQcV7vUBku93iL_EBh5cg#tab=box-score&schoolid=
SO_09-23_SIDWELL_1,47,mid,SO,12,2017-09-23,Saturday,4,2,1,4,10,True,True,False,1,Sidwell Friends,SIDWELL,1,False,False,regular,Model Invitational 2017,,L,"25-14,21-25,15-13",1-2,False,False,3,-1,False,0,1,61,52,0.07964601769911504,False,True,home,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=RHS_XupWN0aw0EUBp_7UvQ#tab=box-score&schoolid=
SO_09-23_KAA_2,48,mid,SO,13,2017-09-23,Saturday,4,0,2,4,10,True,False,False,1,King Abdullah Academy,KAA,1,False,False,regular,Model Invitational 2017,,W,"25-22,16-25,15-12",2-1,False,False,3,1,False,1,0,56,59,-0.02608695652173913,False,False,home,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=98zdz76AtE2OsGyZS2GxxA
SO_09-23_HAYNES_3,46,mid,SO,14,2017-09-23,Saturday,4,0,3,4,10,True,False,False,1,E.L. Haynes,HAYNES,1,False,False,regular,Model Invitational 2017,,W,"25-7,25-14",2-0,False,True,2,2,False,2,0,50,21,0.4084507042253521,False,False,home,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/el-haynes-vs-model-secondary-school-for-the-deaf.htm?c=cynbtw0G0UG9n-coKiZarQ
SO_09-23_WILSON_4,45,mid,SO,15,2017-09-23,Saturday,4,0,4,4,10,True,False,True,1,Woodrow Wilson,WILSON,1,False,False,regular,Model Invitational 2017,,L,"8-25,19-25",0-2,True,False,2,-2,False,0,1,27,50,-0.2987012987012987,False,False,home,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=x_o0b4vbv0qqMUYXQm1IBw
SO_09-26_CL_1,49,mid,SO,16,2017-09-26,Tuesday,5,3,1,1,4,False,,,1,Covenant Life,CL,1,False,False,regular,,,L,"25-20,21-25,18-25,5-25",1-3,False,False,4,-2,False,0,2,69,95,-0.15853658536585366,False,False,away,True,https://www.maxpreps.com/games/09-26-2017/volleyball-17/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=MH9f-mHZHUO8KB0Yr88X_Q
SO_09-28_SJDS_1,50,mid,SO,17,2017-09-28,Thursday,5,2,1,1,3,False,,,1,Smith Jewish Day School,SJDS,1,False,False,conference,,,W,"25-11,25-9,25-18",3-0,False,True,3,3,False,1,0,75,38,0.3274336283185841,False,False,away,True,https://www.maxpreps.com/games/09-28-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=dlMsvqtOiU2j73ldjH2LDA
SO_10-03_WIS_1,51,mid,SO,18,2017-10-03,Tuesday,6,5,1,1,4,False,,,1,Washington International,WIS,1,False,False,conference,,,L,"27-29,25-21,16-25,24-26",1-3,False,False,4,-2,False,0,1,92,101,-0.046632124352331605,False,True,away,True,https://www.maxpreps.com/games/10-03-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=jrstwNpaT0GWB17JC1LkMQ
SO_10-06_TSD_1,53,mid,SO,19,2017-10-06,Friday,6,3,1,4,10,True,True,False,1,Texas School for the Deaf,TSD,1,False,True,regular,SpikeOut 2017 @ Maryland,,L,"13-25,10-25",0-2,True,False,2,-2,False,0,2,23,50,-0.3698630136986301,False,False,neutral,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=gxcwFT9oGkmglyPAEnMJeQ
SO_10-06_MSD_2,54,mid,SO,20,2017-10-06,Friday,6,0,2,4,10,True,False,False,1,Maryland School for the Deaf,MSD,1,False,True,regular,SpikeOut 2017 @ Maryland,,L,"21-25,19-25",0-2,True,False,2,-2,False,0,3,40,50,-0.1111111111111111,False,False,neutral,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Mf8qEjwq6k-qnIN5HvixWw
